Date,ProductID,Price_USD,UnitsSold,PromotionFlag
01/01/2024,Prod_1,2.09,361,0
02/01/2024,Prod_1,7.65,319,1
03/01/2024,Prod_1,33.3,416,0
04/01/2024,Prod_1,48.91,66,1
05/01/2024,Prod_1,6.46,112,1
06/01/2024,Prod_1,23.64,356,0
07/01/2024,Prod_1,9.85,429,0
08/01/2024,Prod_1,37.51,401,0
09/01/2024,Prod_1,6.78,171,0
10/01/2024,Prod_1,12.75,247,0
11/01/2024,Prod_1,10.62,66,0
12/01/2024,Prod_1,28.07,68,1
13/01/2024,Prod_1,43.79,492,0
14/01/2024,Prod_1,26.04,34,0
15/01/2024,Prod_1,3.85,1,0
16/01/2024,Prod_1,28.61,151,0
17/01/2024,Prod_1,40.08,390,1
18/01/2024,Prod_1,7.48,272,0
19/01/2024,Prod_1,4.56,258,0
20/01/2024,Prod_1,10.2,238,1
21/01/2024,Prod_1,37.56,116,1
22/01/2024,Prod_1,29.99,76,1
23/01/2024,Prod_1,27.49,283,1
24/01/2024,Prod_1,13.22,19,0
25/01/2024,Prod_1,17.28,284,0
26/01/2024,Prod_1,48.33,35,0
27/01/2024,Prod_1,12.79,371,0
28/01/2024,Prod_1,45.18,491,0
29/01/2024,Prod_1,29.45,324,1
30/01/2024,Prod_1,7.04,305,0
31/01/2024,Prod_1,23.9,241,1
01/02/2024,Prod_1,47.48,7,0
02/02/2024,Prod_1,21.51,37,0
03/02/2024,Prod_1,43.31,371,0
04/02/2024,Prod_1,13.57,153,0
05/02/2024,Prod_1,28.98,245,0
06/02/2024,Prod_1,42.35,250,0
07/02/2024,Prod_1,46.11,115,0
08/02/2024,Prod_1,24.81,41,1
09/02/2024,Prod_1,32.34,337,0
10/02/2024,Prod_1,1.15,62,0
11/02/2024,Prod_1,13.41,169,0
12/02/2024,Prod_1,14.66,142,0
13/02/2024,Prod_1,5.58,485,1
14/02/2024,Prod_1,14.71,438,1
15/02/2024,Prod_1,16.73,258,1
16/02/2024,Prod_1,48.47,88,0
17/02/2024,Prod_1,33.76,463,0
18/02/2024,Prod_1,21.87,48,1
19/02/2024,Prod_1,49.41,435,1
20/02/2024,Prod_1,8.51,481,1
21/02/2024,Prod_1,24.33,311,1
22/02/2024,Prod_1,32.71,12,0
23/02/2024,Prod_1,3.72,211,0
24/02/2024,Prod_1,36.13,244,1
25/02/2024,Prod_1,5.89,239,1
26/02/2024,Prod_1,7.87,197,1
27/02/2024,Prod_1,8.82,257,0
28/02/2024,Prod_1,46.52,235,0
29/02/2024,Prod_1,34.48,187,0
01/03/2024,Prod_1,33.12,201,0
02/03/2024,Prod_1,28.22,103,0
03/03/2024,Prod_1,15.35,290,1
04/03/2024,Prod_1,31.42,221,0
05/03/2024,Prod_1,21.1,497,0
06/03/2024,Prod_1,8.13,496,0
07/03/2024,Prod_1,34.79,368,0
08/03/2024,Prod_1,7.35,302,0
09/03/2024,Prod_1,10.34,187,1
10/03/2024,Prod_1,41.07,450,0
11/03/2024,Prod_1,33.35,403,0
12/03/2024,Prod_1,31.92,412,1
13/03/2024,Prod_1,21.49,99,0
14/03/2024,Prod_1,20.42,424,0
15/03/2024,Prod_1,34.82,245,0
16/03/2024,Prod_1,37.26,313,0
17/03/2024,Prod_1,26,307,0
18/03/2024,Prod_1,48.49,496,0
19/03/2024,Prod_1,47.83,22,1
20/03/2024,Prod_1,21.21,68,0
21/03/2024,Prod_1,41.21,392,0
22/03/2024,Prod_1,27.62,316,0
23/03/2024,Prod_1,26.08,65,0
24/03/2024,Prod_1,3.69,292,0
25/03/2024,Prod_1,29.12,455,1
26/03/2024,Prod_1,45.13,217,0
27/03/2024,Prod_1,39.23,29,0
28/03/2024,Prod_1,39.53,193,1
29/03/2024,Prod_1,8.84,56,0
30/03/2024,Prod_1,18.56,338,0
31/03/2024,Prod_1,12.43,388,0
01/04/2024,Prod_1,16.48,212,0
02/04/2024,Prod_1,29.4,238,0
03/04/2024,Prod_1,18.87,200,0
04/04/2024,Prod_1,28.47,475,0
05/04/2024,Prod_1,22.49,178,0
06/04/2024,Prod_1,15.04,423,1
07/04/2024,Prod_1,5.67,419,0
08/04/2024,Prod_1,44.7,153,0
09/04/2024,Prod_1,1.56,462,0
10/04/2024,Prod_1,1.08,44,0
11/04/2024,Prod_1,41.51,431,0
12/04/2024,Prod_1,49.84,168,0
13/04/2024,Prod_1,36.63,287,0
14/04/2024,Prod_1,1.75,197,0
15/04/2024,Prod_1,12.11,337,0
16/04/2024,Prod_1,48.62,74,1
17/04/2024,Prod_1,40.62,171,0
18/04/2024,Prod_1,28.77,380,1
19/04/2024,Prod_1,12.61,183,1
20/04/2024,Prod_1,1.7,16,1
