Date,StoreID,ProductCategory,UnitsSold,SalesValue,Region
01/01/2024,Store_1,Dairy,71,43.48,West
02/01/2024,Store_1,Frozen,176,23.45,East
03/01/2024,Store_1,Dairy,118,46.13,South
04/01/2024,Store_1,Bakery,9,95.37,East
05/01/2024,Store_1,Produce,86,85.19,South
06/01/2024,Store_1,Dairy,23,15.38,East
07/01/2024,Store_1,Beverages,199,3.95,South
08/01/2024,Store_1,Beverages,73,93.42,East
09/01/2024,Store_1,Produce,27,53.15,North
10/01/2024,Store_1,Frozen,93,54.25,West
11/01/2024,Store_1,Frozen,81,78.29,South
12/01/2024,Store_1,Dairy,84,32.15,West
13/01/2024,Store_1,Frozen,199,48.71,South
14/01/2024,Store_1,Produce,43,96.9,North
15/01/2024,Store_1,Dairy,7,67.54,North
16/01/2024,Store_1,Bakery,92,16.22,West
17/01/2024,Store_1,Frozen,83,14.19,South
18/01/2024,Store_1,Frozen,191,21.22,East
19/01/2024,Store_1,Dairy,84,76.9,South
20/01/2024,Store_1,Beverages,44,30.24,East
21/01/2024,Store_1,Frozen,167,3.12,West
22/01/2024,Store_1,Produce,40,94.47,West
23/01/2024,Store_1,Frozen,135,17.8,North
24/01/2024,Store_1,Bakery,198,1.95,East
25/01/2024,Store_1,Frozen,25,24.48,South
26/01/2024,Store_1,Beverages,59,24.27,North
27/01/2024,Store_1,Frozen,141,42.78,West
28/01/2024,Store_1,Dairy,103,92.12,North
29/01/2024,Store_1,Frozen,86,88.04,South
30/01/2024,Store_1,Beverages,112,46.23,South
31/01/2024,Store_1,Dairy,86,41.68,West
01/02/2024,Store_1,Produce,98,55.95,North
02/02/2024,Store_1,Dairy,62,25.1,East
03/02/2024,Store_1,Bakery,8,6.17,East
04/02/2024,Store_1,Dairy,113,93.98,East
05/02/2024,Store_1,Produce,173,19.48,South
06/02/2024,Store_1,Frozen,146,20.64,North
07/02/2024,Store_1,Dairy,60,47.77,East
08/02/2024,Store_1,Dairy,60,49.67,North
09/02/2024,Store_1,Dairy,106,2.82,West
10/02/2024,Store_1,Dairy,2,15.65,East
11/02/2024,Store_1,Produce,194,38.44,North
12/02/2024,Store_1,Beverages,91,68.69,South
13/02/2024,Store_1,Beverages,14,23.61,West
14/02/2024,Store_1,Dairy,48,42.88,West
15/02/2024,Store_1,Produce,103,56.18,West
16/02/2024,Store_1,Produce,56,88.97,West
17/02/2024,Store_1,Dairy,12,33.28,South
18/02/2024,Store_1,Bakery,55,14.22,South
19/02/2024,Store_1,Dairy,156,49.44,East
20/02/2024,Store_1,Bakery,110,74.93,South
21/02/2024,Store_1,Dairy,4,11.88,South
22/02/2024,Store_1,Bakery,36,43.04,West
23/02/2024,Store_1,Bakery,178,2.76,South
24/02/2024,Store_1,Dairy,131,4.32,West
25/02/2024,Store_1,Bakery,1,48.81,North
26/02/2024,Store_1,Frozen,17,30.52,North
27/02/2024,Store_1,Beverages,199,84.67,North
28/02/2024,Store_1,Produce,62,60.61,North
29/02/2024,Store_1,Bakery,48,45.94,North
01/03/2024,Store_1,Bakery,62,41.39,North
02/03/2024,Store_1,Produce,69,50.23,North
03/03/2024,Store_1,Bakery,147,5,West
04/03/2024,Store_1,Produce,103,89.39,West
05/03/2024,Store_1,Dairy,110,99.83,West
06/03/2024,Store_1,Frozen,162,18.97,West
07/03/2024,Store_1,Frozen,177,12.92,South
08/03/2024,Store_1,Beverages,175,15.21,South
09/03/2024,Store_1,Bakery,91,66.44,East
10/03/2024,Store_1,Beverages,114,66.48,South
11/03/2024,Store_1,Dairy,178,84.94,West
12/03/2024,Store_1,Frozen,89,75.43,West
13/03/2024,Store_1,Dairy,154,45.52,North
14/03/2024,Store_1,Dairy,56,61.67,North
15/03/2024,Store_1,Bakery,78,69.14,East
16/03/2024,Store_1,Dairy,14,51.76,South
17/03/2024,Store_1,Frozen,25,48.09,West
18/03/2024,Store_1,Beverages,132,64.86,South
19/03/2024,Store_1,Frozen,32,56.19,East
20/03/2024,Store_1,Bakery,82,64.75,North
21/03/2024,Store_1,Frozen,78,61.67,West
22/03/2024,Store_1,Produce,193,72.2,North
23/03/2024,Store_1,Beverages,106,64.64,West
24/03/2024,Store_1,Produce,189,52.45,North
25/03/2024,Store_1,Produce,20,68.5,North
26/03/2024,Store_1,Bakery,74,45.5,East
27/03/2024,Store_1,Dairy,10,24.93,South
28/03/2024,Store_1,Produce,123,1.14,North
29/03/2024,Store_1,Frozen,34,56.44,West
30/03/2024,Store_1,Dairy,189,59.47,South
31/03/2024,Store_1,Frozen,155,97.23,South
01/01/2024,Store_2,Frozen,40,36.79,North
02/01/2024,Store_2,Dairy,193,40.02,North
03/01/2024,Store_2,Dairy,127,20.98,North
04/01/2024,Store_2,Frozen,33,7.98,South
05/01/2024,Store_2,Bakery,196,77.51,East
06/01/2024,Store_2,Beverages,71,25.72,North
07/01/2024,Store_2,Beverages,137,61.28,South
08/01/2024,Store_2,Bakery,144,69.09,South
09/01/2024,Store_2,Dairy,133,47.65,West
10/01/2024,Store_2,Frozen,98,87.76,North
11/01/2024,Store_2,Beverages,124,44.94,East
12/01/2024,Store_2,Frozen,151,29.21,West
13/01/2024,Store_2,Bakery,43,89.71,North
14/01/2024,Store_2,Frozen,114,86.29,West
15/01/2024,Store_2,Bakery,89,17.24,North
16/01/2024,Store_2,Dairy,185,3.57,West
